Label	ID	URI	Scannet	Roomle	NYU40	Shapenet	COCO	FSO	Wordnet	Structural	Level
entity	2921	https://www.w3.org/2006/03/wn/wn20/instances/synset-entity-noun-01							entity.n.01	x	0
physical_entity	2922	https://www.w3.org/2006/03/wn/wn20/instances/synset-physical_entity-noun-01							physical_entity.n.01	x	1
object	2923	https://www.w3.org/2006/03/wn/wn20/instances/synset-object-noun-01							object.n.01	x	2
whole	2924	https://www.w3.org/2006/03/wn/wn20/instances/synset-whole-noun-02							whole.n.02	x	3
artifact	2925	https://www.w3.org/2006/03/wn/wn20/instances/synset-artifact-noun-01							artifact.n.01	x	4
decoration	250	http://scan-net.org/concepts/decoration	decoration		40				decoration.n.01	-	5
wall hanging	291	http://scan-net.org/concepts/wall_hanging	wall hanging		40				hanging.n.01	-	6
hanging	1223	http://scan-net.org/concepts/hanging	hanging		40				hanging.n.01	-	6
centerpiece	551	http://scan-net.org/concepts/centerpiece	centerpiece		40				centerpiece.n.02	-	6
design	2926	https://www.w3.org/2006/03/wn/wn20/instances/synset-design-noun-04							design.n.04	x	6
emblem	2927	https://www.w3.org/2006/03/wn/wn20/instances/synset-emblem-noun-01							emblem.n.01	x	7
flag	1272	http://scan-net.org/concepts/flag	flag		40				flag.n.01	-	8
banner	1198	http://scan-net.org/concepts/banner	banner		40				banner.n.01	-	9
structure	1178	http://scan-net.org/concepts/structure	structure		38				structure.n.01	-	5
sign	261	http://www.aidimme.es/FurnitureSectorOntology.owl#Sign	sign		40			sign	signboard.n.01	-	6
column	120	http://scan-net.org/concepts/column	column		38				column.n.06	-	6
divider	748	http://scan-net.org/concepts/divider	divider		40				partition.n.01	-	6
wall	1	http://scan-net.org/concepts/wall	wall		1				wall.n.01	-	7
shower wall	128	http://scan-net.org/concepts/shower_wall	shower wall		1					-	8
closet wall	1165	http://scan-net.org/concepts/closet_wall	closet wall		1					-	8
pantry wall	1204	http://scan-net.org/concepts/pantry_wall	pantry wall		1					-	8
bathroom wall	1243	http://scan-net.org/concepts/bathroom_wall	bathroom wall		1					-	8
curtain wall	2928	http://atlantis-ar/indoor-taxonomy#curtain_wall								-	8
building	2929	http://atlantis-ar/indoor-taxonomy#building							building.n.01	-	6
house	2930	https://www.w3.org/2006/03/wn/wn20/instances/synset-house-noun-01							house.n.01	x	7
dollhouse	282	http://scan-net.org/concepts/dollhouse	dollhouse		39				dollhouse.n.01	-	8
outbuilding	2931	https://www.w3.org/2006/03/wn/wn20/instances/synset-outbuilding-noun-01							outbuilding.n.01	x	7
garage	2932	http://atlantis-ar/indoor-taxonomy#garage		garage					garage.n.01	-	8
carport	2933	http://atlantis-ar/indoor-taxonomy#carport		carport					carport.n.01	-	9
story	2934	http://atlantis-ar/indoor-taxonomy#story							story.n.03	-	6
area	2935	https://www.w3.org/2006/03/wn/wn20/instances/synset-area-noun-05							area.n.05	-	6
enclosure	2936	https://www.w3.org/2006/03/wn/wn20/instances/synset-enclosure-noun-01							enclosure.n.01	-	7
playpen	2495	http://www.aidimme.es/FurnitureSectorOntology.owl#Playpen						playpen	playpen.n.01	-	8
niche	2937	http://atlantis-ar/indoor-taxonomy#niche							niche.n.03	-	8
recess	2938	https://www.w3.org/2006/03/wn/wn20/instances/synset-recess-noun-04							recess.n.04	x	8
fireplace	156	http://scan-net.org/concepts/fireplace	fireplace		38				fireplace.n.01	-	9
chamber	2939	https://www.w3.org/2006/03/wn/wn20/instances/synset-chamber-noun-01							chamber.n.01	x	8
furnace	363	http://scan-net.org/concepts/furnace	furnace		39				furnace.n.01	-	9
room	2940	https://www.w3.org/2006/03/wn/wn20/instances/synset-room-noun-01							room.n.01	x	7
toilet	17	http://www.aidimme.es/FurnitureSectorOntology.owl#Toilet	toilet		33		toilet	toilet	toilet.n.01	-	8
closet	57	http://scan-net.org/concepts/closet	closet		39				closet.n.04	-	8
bathroom stall	125	http://scan-net.org/concepts/bathroom_stall	bathroom stall		38				booth.n.02	-	9
kitchen worktop	2845	http://www.aidimme.es/FurnitureSectorOntology.owl#KitchenWorktop						kitchen worktop	kitchen.n.01	-	8
kitchen block	2941	http://atlantis-ar/indoor-taxonomy#kitchen_block		kitchen block					kitchenette.n.01	-	9
storage_space	2942	https://www.w3.org/2006/03/wn/wn20/instances/synset-storage_space-noun-01							storage_space.n.01	x	7
drawer	25	http://www.aidimme.es/FurnitureSectorOntology.owl#Drawer	drawer		39			drawer	drawer.n.01	-	8
cupboard	2228	http://www.aidimme.es/FurnitureSectorOntology.owl#Cupboard		cupboard				cupboard	cupboard.n.01	-	8
obstruction	2943	https://www.w3.org/2006/03/wn/wn20/instances/synset-obstruction-noun-01							obstruction.n.01	x	6
barrier	817	http://scan-net.org/concepts/barricade	barrier		40				barrier.n.01	-	7
rail	95	http://scan-net.org/concepts/rail	rail		38				railing.n.01	-	8
stair rail	1171	http://scan-net.org/concepts/stair_rail	stair rail		38				bannister.n.02	-	8
handrail	152	http://scan-net.org/concepts/hand_rail	handrail		38				bannister.n.02	-	8
railing	1219	http://scan-net.org/concepts/railing	railing		38				railing.n.01	-	8
banister	448	http://scan-net.org/concepts/banister	banister		38				bannister.n.02	-	8
movable_barrier	2944	https://www.w3.org/2006/03/wn/wn20/instances/synset-movable_barrier-noun-01							movable_barrier.n.01	x	8
door	5	http://www.aidimme.es/FurnitureSectorOntology.owl#Door	door		8		door	door	door.n.01	-	9
sliding wood door	1282	http://scan-net.org/concepts/sliding_wood_door	sliding wood door		40				sliding_door.n.01	-	10
garage door	976	http://scan-net.org/concepts/garage_door	garage door		38					-	10
door wall	947	http://scan-net.org/concepts/door_wall	door wall		1				sliding_door.n.01	-	10
sliding door	569	http://www.aidimme.es/FurnitureSectorOntology.owl#SlidingDoor	sliding door		8			sliding door	sliding_door.n.01	-	10
door double	2945	http://atlantis-ar/indoor-taxonomy#door_double		door double					double_door.n.01	-	10
flush door	2094	http://www.aidimme.es/FurnitureSectorOntology.owl#FlushDoor						flush door		-	10
bifold door	2131	http://www.aidimme.es/FurnitureSectorOntology.owl#BifoldDoor						bifold door		-	10
false door	2154	http://www.aidimme.es/FurnitureSectorOntology.owl#FalseDoor						false door		-	10
bypass door	2400	http://www.aidimme.es/FurnitureSectorOntology.owl#BypassDoor						bypass door		-	10
revolving door	2420	http://www.aidimme.es/FurnitureSectorOntology.owl#RevolvingDoor						revolving door		-	10
stable door	2440	http://www.aidimme.es/FurnitureSectorOntology.owl#StableDoor						stable door		-	10
up and over door	2459	http://www.aidimme.es/FurnitureSectorOntology.owl#UpAndOverDoor						up and over door		-	10
blind door	2464	http://www.aidimme.es/FurnitureSectorOntology.owl#BlindDoor						blind door		-	10
butterfly door	2491	http://www.aidimme.es/FurnitureSectorOntology.owl#ButterflyDoor						butterfly door		-	10
louver door	2504	http://www.aidimme.es/FurnitureSectorOntology.owl#LouverDoor						louver door		-	10
pet door	2570	http://www.aidimme.es/FurnitureSectorOntology.owl#PetDoor						pet door		-	10
french door	2688	http://www.aidimme.es/FurnitureSectorOntology.owl#FrenchDoor						french door		-	10
barn door	2766	http://www.aidimme.es/FurnitureSectorOntology.owl#BarnDoor						barn door		-	10
panel door	2793	http://www.aidimme.es/FurnitureSectorOntology.owl#PanelDoor						panel door		-	10
garden door	2796	http://www.aidimme.es/FurnitureSectorOntology.owl#GardenDoor						garden door		-	10
swing door	2801	http://www.aidimme.es/FurnitureSectorOntology.owl#SwingDoor						swing door		-	10
trap door	2879	http://www.aidimme.es/FurnitureSectorOntology.owl#TrapDoor						trap door		-	10
bathroom stall door	1167	http://scan-net.org/concepts/bathroom_stall_door	bathroom stall door		8				door.n.01	-	9
closet door	276	http://scan-net.org/concepts/closet_door	closet door		8				door.n.01	-	9
mirror door	1208	http://scan-net.org/concepts/mirror_door	mirror door		8				door.n.01	-	9
glass door	649	http://scan-net.org/concepts/glass_door	glass door		8				door.n.01	-	9
supporting_structure	2946	https://www.w3.org/2006/03/wn/wn20/instances/synset-supporting_structure-noun-01							supporting_structure.n.01	x	6
framework	2947	https://www.w3.org/2006/03/wn/wn20/instances/synset-framework-noun-03							framework.n.03	x	7
window	16	http://www.aidimme.es/FurnitureSectorOntology.owl#Window	window		9		window	window	window.n.01	-	8
window double	2948	http://atlantis-ar/indoor-taxonomy#window_double		window double						-	9
skylight	2949	http://atlantis-ar/indoor-taxonomy#skylight							skylight.n.01	-	9
dormer	2950	http://atlantis-ar/indoor-taxonomy#dormer							dormer.n.01	-	9
swing window	2174	http://www.aidimme.es/FurnitureSectorOntology.owl#SwingWindow						swing window		-	9
blinds window	2411	http://www.aidimme.es/FurnitureSectorOntology.owl#BlindsWindow						blinds window		-	9
sliding window	2437	http://www.aidimme.es/FurnitureSectorOntology.owl#SlidingWindow						sliding window		-	9
oscillating window	2918	http://www.aidimme.es/FurnitureSectorOntology.owl#OscillatingWindow						oscillating window		-	9
doorframe	161	http://scan-net.org/concepts/doorframe	doorframe		8				doorframe.n.01	-	8
storage organizer	1183	http://scan-net.org/concepts/storage_organizer	storage organizer		40				rack.n.01	-	8
dish rack	323	http://scan-net.org/concepts/dish_rack	dish rack		40				dish_rack.n.01	-	9
coat rack	1182	http://www.aidimme.es/FurnitureSectorOntology.owl#CoatRack	coat rack		40			coat rack	coatrack.n.01	-	9
shoe rack	415	http://www.aidimme.es/FurnitureSectorOntology.owl#ShoeRack	shoe rack		40			shoe rack		-	9
changing station	1248	http://scan-net.org/concepts/baby_changing_station	changing station		40					-	9
luggage stand	1256	http://scan-net.org/concepts/luggage_stand	luggage stand		39					-	9
coatrack	319	http://scan-net.org/concepts/coatrack	coatrack		40				coatrack.n.01	-	9
wall mounted coat rack	1311	http://scan-net.org/concepts/wall_mounted_coat_rack	wall mounted coat rack		40				coatrack.n.01	-	9
hatrack	607	http://scan-net.org/concepts/hatrack	hatrack		40				coatrack.n.01	-	9
tray rack	1328	http://scan-net.org/concepts/tray_rack	tray rack		40					-	9
towel rack	401	http://www.aidimme.es/FurnitureSectorOntology.owl#TowelRack	towel rack		40			towel rack	towel_rack.n.01	-	9
garage storage	2951	http://atlantis-ar/indoor-taxonomy#garage_storage		garage storage						-	9
garden barbeque	2952	http://atlantis-ar/indoor-taxonomy#garden_barbeque		garden barbeque					barbecue.n.03	-	9
drying rack	822	http://www.aidimme.es/FurnitureSectorOntology.owl#DryingRack	drying rack		39			drying rack	clotheshorse.n.01	-	8
frame	146	http://www.aidimme.es/FurnitureSectorOntology.owl#Frame	frame		38			frame	frame.n.10	-	8
mirror frame	2115	http://www.aidimme.es/FurnitureSectorOntology.owl#MirrorFrame						mirror frame		-	9
window frame	2353	http://www.aidimme.es/FurnitureSectorOntology.owl#WindowFrame						window frame		-	9
door frame	2748	http://www.aidimme.es/FurnitureSectorOntology.owl#DoorFrame						door frame		-	9
closet doorframe	1345	http://scan-net.org/concepts/closet_doorframe	closet doorframe		8				doorframe.n.01	-	8
fountain	2953	https://www.w3.org/2006/03/wn/wn20/instances/synset-fountain-noun-01							fountain.n.01	x	6
water fountain	305	http://scan-net.org/concepts/water_fountain	water fountain		38				drinking_fountain.n.01	-	7
housing	2954	https://www.w3.org/2006/03/wn/wn20/instances/synset-housing-noun-01							housing.n.01	x	6
dwelling	2955	https://www.w3.org/2006/03/wn/wn20/instances/synset-dwelling-noun-01							dwelling.n.01	x	7
tower	2957	https://www.w3.org/2006/03/wn/wn20/instances/synset-tower-noun-01							tower.n.01	x	6
traffic cone	948	http://scan-net.org/concepts/traffic_cone	traffic cone		40				pylon.n.01	-	7
projection	2958	https://www.w3.org/2006/03/wn/wn20/instances/synset-projection-noun-04							projection.n.04	x	6
flange	2803	http://www.aidimme.es/FurnitureSectorOntology.owl#Flange						flange	flange.n.01	-	7
cone	1320	http://scan-net.org/concepts/cone	cone		40				cone.n.01	-	5
kids toys	2959	http://atlantis-ar/indoor-taxonomy#kids_toys		kids toys					plaything.n.01	-	5
stuffed animal	304	http://scan-net.org/concepts/stuffed_animal	stuffed animal		40				teddy.n.01	-	6
teddy bear	1203	http://scan-net.org/concepts/teddy_bear	teddy bear		40		teddy bear		teddy.n.01	-	6
nerf gun	204	http://scan-net.org/concepts/nerf_gun	nerf gun		40				water_gun.n.01	-	6
bear	1260	http://scan-net.org/concepts/bear	bear		40		bear		teddy.n.01	-	6
doll	1276	http://scan-net.org/concepts/santa	doll		40				doll.n.01	-	6
toy piano	1317	http://scan-net.org/concepts/toy_piano	toy piano		40					-	6
toy dinosaur	1319	http://scan-net.org/concepts/toy_dinosaur	toy dinosaur		40					-	6
frisbee	2021	http://atlantis-ar/indoor-taxonomy#frisbee					frisbee		frisbee.n.01	-	6
seesaw	2236	http://www.aidimme.es/FurnitureSectorOntology.owl#Seesaw						seesaw	seesaw.n.01	-	6
ball	2960	https://www.w3.org/2006/03/wn/wn20/instances/synset-ball-noun-06							ball.n.06	x	6
beachball	712	http://scan-net.org/concepts/beachball	beachball		40				beach_ball.n.01	-	7
padding	2163	http://www.aidimme.es/FurnitureSectorOntology.owl#Padding						padding	padding.n.01	-	5
cushion	39	http://www.aidimme.es/FurnitureSectorOntology.owl#Cushion	cushion		18			cushion	cushion.n.03	-	6
pillow	13	http://www.aidimme.es/FurnitureSectorOntology.owl#Pillow	pillow		18	pillow		pillow	pillow.n.01	-	7
pad	2961	https://www.w3.org/2006/03/wn/wn20/instances/synset-pad-noun-04							pad.n.04	x	6
viscoelastic mattress	2849	http://www.aidimme.es/FurnitureSectorOntology.owl#ViscoelasticMattress						viscoelastic mattress	mattress.n.01	-	7
futon	354	http://scan-net.org/concepts/futon	futon		39				futon.n.01	-	8
air mattress	1349	http://www.aidimme.es/FurnitureSectorOntology.owl#AirMattress	air mattress		4	bed		air mattress	air_mattress.n.01	-	8
way	2962	https://www.w3.org/2006/03/wn/wn20/instances/synset-way-noun-06							way.n.06	-	5
stairway	58	https://www.w3.org/2006/03/wn/wn20/instances/synset-stairway-noun-01			38				stairway.n.01	-	6
stairs	2963	https://www.w3.org/2006/03/wn/wn20/instances/synset-stairs-noun-01	stairs 						stairs.n.01	-	7
ladder	122	http://www.aidimme.es/FurnitureSectorOntology.owl#Ladder	ladder		39			ladder	ladder.n.01	-	8
stepladder	851	http://scan-net.org/concepts/stepladder	stepladder		39				step_ladder.n.01	-	9
telescopic ladder	2128	http://www.aidimme.es/FurnitureSectorOntology.owl#TelescopicLadder						telescopic ladder		-	9
roof ladder	2211	http://www.aidimme.es/FurnitureSectorOntology.owl#RoofLadder						roof ladder		-	9
fixed ladder	2332	http://www.aidimme.es/FurnitureSectorOntology.owl#FixedLadder						fixed ladder		-	9
step ladder	2341	http://www.aidimme.es/FurnitureSectorOntology.owl#StepLadder						step ladder		-	9
extension ladder	2410	http://www.aidimme.es/FurnitureSectorOntology.owl#ExtensionLadder						extension ladder		-	9
